URL,Path,Template,Theme,Header,Footer,Language,Migration,Phase,Priority,Gate,Actions,Key Blocks,Notes
https://www.wellsfargo.com/,/,T1 Homepage,Default,Default,Default,EN,Yes,Phase 1,1,Gate 1 (Representative),"Import, Style, Validate","Hero, Carousel, Cards, Tabs, Sign-On Tile, App Promo, help-cta, Disclaimers",
https://www.wellsfargo.com/about/,/about/,T14 About Landing,Default,Default,Default,EN,Yes,Phase 1,9,Gate 1 (Representative),"Import, Style, Validate","Hero, Cards, Fragment, Columns, Disclaimers",
https://www.wellsfargo.com/atm/,/atm/,T12 Privacy/Legal/Utility,Default,Default,Default,EN,Yes,Phase 1,13,Gate 1 (Representative),"Import, Style, Validate","Default content, Table, Columns, Disclaimers",
https://www.wellsfargo.com/auto-loans/,/auto-loans/,T4 L2 Category Hub,Default,Default,Default,EN,Yes,Phase 1,10,Gate 1 (Representative),"Import, Style, Validate","Hero, Cards, Columns, Accordion, App Promo, Disclaimers",
https://www.wellsfargo.com/biz/,/biz/,T8a Biz Landing,Default,Biz,Biz,EN,Yes,Phase 1,6,Gate 1 (Representative),"Import, Style, Validate","Hero, Cards, Columns, App Promo, Disclaimers",
https://www.wellsfargo.com/checking/,/checking/,T2 L1 Product Landing,Default,Default,Default,EN,Yes,Phase 1,2,Gate 1 (Representative),"Import, Style, Validate","Hero, Tabs, product-comparison, Accordion, help-cta, Disclaimers",
https://www.wellsfargo.com/cib/,/cib/,T9 CIB/Commercial Landing,Default,CIB,CIB,EN,Yes,Phase 1,7,Gate 1 (Representative),"Import, Style, Validate","Hero, Carousel, Deal Card, Cards, Disclaimers",
https://www.wellsfargo.com/com/,/com/,T9 CIB/Commercial Landing,Default,CIB,CIB,EN,Yes,Phase 1,7,Gate 1 (Representative),"Import, Style, Validate","Hero, Carousel, Deal Card, Cards, Disclaimers",
https://www.wellsfargo.com/debit-card/,/debit-card/,T4 L2 Category Hub,Default,Default,Default,EN,Yes,Phase 1,10,Gate 2 (Validation Batch),"Import, Style, Validate","Hero, Cards, Columns, Accordion, App Promo, Disclaimers",
https://www.wellsfargo.com/equity/,/equity/,T4 L2 Category Hub,Default,Default,Default,EN,Yes,Phase 1,10,Gate 2 (Validation Batch),"Import, Style, Validate","Hero, Cards, Columns, Accordion, App Promo, Disclaimers",
https://www.wellsfargo.com/es/,/es/,T1 Homepage,Default,Default ES,Default ES,ES,Yes,Phase 1,1,Gate 1 (Representative),"Import, Validate","Hero, Carousel, Cards, Tabs, Sign-On Tile, App Promo, help-cta, Disclaimers",Spanish home — included in Phase 1
https://www.wellsfargo.com/financial-assistance/,/financial-assistance/,T4 L2 Category Hub,Default,Default,Default,EN,Yes,Phase 1,10,Gate 2 (Validation Batch),"Import, Style, Validate","Hero, Cards, Columns, Accordion, App Promo, Disclaimers",
https://www.wellsfargo.com/financial-health/,/financial-health/,T4 L2 Category Hub,Default,Default,Default,EN,Yes,Phase 1,10,Gate 3 (Bulk Import),"Import, Style, Validate","Hero, Cards, Columns, Accordion, App Promo, Disclaimers",
https://www.wellsfargo.com/foreign-exchange/,/foreign-exchange/,T12 Privacy/Legal/Utility,Default,Default,Default,EN,Yes,Phase 1,13,Gate 3 (Bulk Import),"Import, Style, Validate","Default content, Table, Columns, Disclaimers",
https://www.wellsfargo.com/help/,/help/,T6 Help/FAQ,Default,Default,Default,EN,Yes,Phase 1,4,Gate 3 (Bulk Import),"Import, Style, Validate","Tabs, Accordion, contact-info, Cards, Disclaimers",
https://www.wellsfargo.com/investing-wealth/,/investing-wealth/,T11 Wealth/Investing,Wealth,Wealth,Wealth,EN,Yes,Phase 1,8,Gate 1 (Representative),"Import, Style, Validate","Hero, Cards, Columns, Accordion, Disclaimers",
https://www.wellsfargo.com/mobile-online-banking/,/mobile-online-banking/,T2 L1 Product Landing,Default,Default,Default,EN,Yes,Phase 1,2,Gate 2 (Validation Batch),"Import, Style, Validate","Hero, Tabs, product-comparison, Accordion, help-cta, Disclaimers",
https://www.wellsfargo.com/mortgage/,/mortgage/,T2 L1 Product Landing,Default,Default,Default,EN,Yes,Phase 1,2,Gate 2 (Validation Batch),"Import, Style, Validate","Hero, Tabs, product-comparison, Accordion, help-cta, Disclaimers",
https://www.wellsfargo.com/personal-loans/,/personal-loans/,T3 Product Detail (Calculator Stub),Default,Default,Default,EN,Stub,Phase 1,3,-,Stub page — link to live calculator,"Hero, Cards, Table, Accordion, help-cta, Disclaimers",Calculator page — stub with link to live tool
https://www.wellsfargo.com/premier/,/premier/,T2 L1 Product Landing,Default,Default,Default,EN,Yes,Phase 1,2,Gate 3 (Bulk Import),"Import, Style, Validate","Hero, Tabs, product-comparison, Accordion, help-cta, Disclaimers",
https://www.wellsfargo.com/privacy-security/,/privacy-security/,T12 Privacy/Legal/Utility,Default,Default,Default,EN,Yes,Phase 1,13,Gate 3 (Bulk Import),"Import, Style, Validate","Default content, Table, Columns, Disclaimers",
https://www.wellsfargo.com/rewards/,/rewards/,T4 L2 Category Hub,Default,Default,Default,EN,Yes,Phase 1,10,Gate 2 (Validation Batch),"Import, Style, Validate","Hero, Cards, Columns, Accordion, App Promo, Disclaimers",
https://www.wellsfargo.com/savings-cds/,/savings-cds/,T2 L1 Product Landing,Default,Default,Default,EN,Yes,Phase 1,2,Gate 2 (Validation Batch),"Import, Style, Validate","Hero, Tabs, product-comparison, Accordion, help-cta, Disclaimers",
https://www.wellsfargo.com/tax-center/,/tax-center/,T12 Privacy/Legal/Utility,Default,Default,Default,EN,Yes,Phase 1,13,Gate 2 (Validation Batch),"Import, Style, Validate","Default content, Table, Columns, Disclaimers",
https://www.wellsfargo.com/testBCP1/,/testBCP1/,Excluded (Test/Dev),Default,Default,Default,EN,No,Excluded,14,-,-,-,Test/dev page — excluded
https://www.wellsfargo.com/_navlinks/financial-assistance-nav-links/,/_navlinks/financial-assistance-nav-links/,Excluded (CMS Fragment),Default,Default,Default,EN,No,Excluded,14,-,-,-,Internal nav fragment — excluded from migration
https://www.wellsfargo.com/_navlinks/fixed-income-nav-links/,/_navlinks/fixed-income-nav-links/,Excluded (CMS Fragment),Default,Default,Default,EN,No,Excluded,14,-,-,-,Internal nav fragment — excluded from migration
https://www.wellsfargo.com/_navlinks/quarterly-earnings-nav-links/,/_navlinks/quarterly-earnings-nav-links/,Excluded (CMS Fragment),Default,Default,Default,EN,No,Excluded,14,-,-,-,Internal nav fragment — excluded from migration
https://www.wellsfargo.com/about/inclusion/,/about/inclusion/,T5 Education Article,Default,Default,Default,EN,Yes,Phase 1,11,Gate 2 (Validation Batch),"Import, Style, Validate","Default content, Cards, Help Sidebar, Disclaimers",
https://www.wellsfargo.com/about/investor-relations/,/about/investor-relations/,T5 Education Article,Default,Default,Default,EN,Yes,Phase 1,11,Gate 2 (Validation Batch),"Import, Style, Validate","Default content, Cards, Help Sidebar, Disclaimers",
https://www.wellsfargo.com/about/responsibility-and-impact/,/about/responsibility-and-impact/,T5 Education Article,Default,Default,Default,EN,Yes,Phase 1,11,Gate 2 (Validation Batch),"Import, Style, Validate","Default content, Cards, Help Sidebar, Disclaimers",
https://www.wellsfargo.com/about/supply-chain-management/,/about/supply-chain-management/,T5 Education Article,Default,Default,Default,EN,Yes,Phase 1,11,Gate 3 (Bulk Import),"Import, Style, Validate","Default content, Cards, Help Sidebar, Disclaimers",
https://www.wellsfargo.com/about/teamworks/,/about/teamworks/,T5 Education Article,Default,Default,Default,EN,Yes,Phase 1,11,Gate 3 (Bulk Import),"Import, Style, Validate","Default content, Cards, Help Sidebar, Disclaimers",
https://www.wellsfargo.com/about/corporate/norwest/,/about/corporate/norwest/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",
https://www.wellsfargo.com/about/corporate/governance/black/,/about/corporate/governance/black/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/chancy/,/about/corporate/governance/chancy/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/craver/,/about/corporate/governance/craver/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/davis/,/about/corporate/governance/davis/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/engle/,/about/corporate/governance/engle/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/fercho/,/about/corporate/governance/fercho/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/flowers/,/about/corporate/governance/flowers/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/garcia/,/about/corporate/governance/garcia/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/hewett/,/about/corporate/governance/hewett/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 2 (Validation Batch),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/hranicky/,/about/corporate/governance/hranicky/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
https://www.wellsfargo.com/about/corporate/governance/ling/,/about/corporate/governance/ling/,T13 Leadership Bio,Default,Default,Default,EN,Yes,Phase 1,5,Gate 3 (Bulk Import),"Import, Style, Validate","Columns, Cards, Default content, Disclaimers",Executive biography
